                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,       train/scene_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,         val/scene_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.6471,                 5.7055,                 4.2961,                      0,                      0,                      0,                      0,                      0,                 4.1829,                 5.3746,                 4.1345,                      0,                 0.0973,                 0.0003,                 0.0003
                      0,                 5.6471,                 5.7055,                 4.2961,                      0,                      0,                      0,                      0,                      0,                 4.1829,                 5.3746,                 4.1345,                      0,                 0.0973,                 0.0003,                 0.0003
